assassin's creed freedom cry,2.97
assassin's creed ii,27.90
assassin's creed iii,45.45
assassin's creed iv black flag,59.82
assassin's creed revelations,38.17
assassin's creed rogue,62.00
assassin's creed syndicate,32.13
assassins creed chronicles china,4.80
assassins creed unity,20.18
assault android cactus,1.45
assetto corsa,15.74
astebreed,0.40
asteria,1.00
asteroids outpost,0.30
astro lords,0.15
atlantica online,8.20
atom zombie smasher,5.83
audiosurf,8.10
audiosurf 2,15.76
audition online,2.06
auditorium,0.45
aura fate of the ages,3.60
aura kingdom,5.11
autobahn police simulator,0.95
autocraft,5.10
automation - the car company tycoon game,6.20
avadon 2 the corruption,2.90
avadon the black fortress,0.33
avernum 4,228.00
avernum 5,222.00
avernum 6,80.00
avernum escape from the pit,85.67
aveyond 3-1 lord of twilight,1.20
aveyond 3-2 gates of night,0.30
awesomenauts,22.13
axiom verge,7.58
axis game factory's agfpro 3.0,2.24
axyos,4.40
azmd! scorepocalypse,1.10
azure striker gunvolt,5.50
b.u.t.t.o.n.,0.10
babel rising,0.20
back to bed,1.60
back to dinosaur island,1.53
back to the future ep 1 - it's about time,2.30
back to the future ep 2 - get tannen!,2.20
back to the future ep 3 - citizen brown,2.70
back to the future ep 4 - double visions,2.60
back to the future ep 5 - outatime,2.77
bad end,3.80
bad hotel,10.00
bad rats,2.25
baldur's gate enhanced edition,134.56
baldur's gate ii enhanced edition,475.26
ballad of solar,10.10
ballpoint universe infinite,1.03
banished,30.24
bard's gold,119.00
bardbarian,6.95
basement,23.23
bastion,6.09
batla,3.02
batman arkham asylum,21.40
batman arkham asylum goty edition,12.68
batman arkham city,22.60
batman arkham city goty,19.05
batman arkham knight,15.10
batman arkham origins,19.92
batman arkham origins blackgate - deluxe edition,4.77
battle academy,14.60
battle academy 2 eastern front,0.10
battle battalions,0.28
battle brothers,1.50
battle for graxia,1.27
battle group 2,2.60
battle islands,34.87
battle los angeles,4.10
battle nations,131.40
battle of empires  1914-1918,24.40
battle vs chess,5.00
battleblock theater,5.90
battlefield 2,13.66
battlefield bad company 2,60.17
battlegrounds of eldhelm,0.40
battlepaths,5.32
battleplan american civil war,3.10
battlespace,0.70
battlestations midway,6.18
battlestations pacific,15.32
beamng.drive,6.85
beast boxing turbo,0.95
beasts of prey,16.82
beat hazard,5.64
beatbuddy tale of the guardians,2.43
bedlam,3.40
beep,1.43
before the echo,1.92
bejeweled 2 deluxe,0.80
bejeweled 3,15.26
bejeweled deluxe,1.00
ben there dan that!,1.32
bermuda,1.90
besiege,13.75
betrayer,2.42
better late than dead,3.40
beware planet earth,2.20
beyond divinity,0.75
beyond eyes,1.50
beyond good & evil,4.73
beyond space,12.60
bientt l't,0.40
big brain wolf,0.50
big money! deluxe,3.00
big pharma,9.47
binary domain,4.90
bionic commando,1.20
bionic commando rearmed,0.28
bionic dues,1.80
bioshock,7.62
bioshock 2,7.53
bioshock infinite,17.40
bit dungeon ii,5.25
bit.trip beat,1.66
bit.trip core,0.10
bit.trip fate,0.25
bit.trip presents... runner2 future legend of rhythm alien,2.37
bit.trip runner,1.84
bit.trip void,0.40
black fire,1.45
black ice,1.10
black ink,79.77
black mesa,17.16
black mirror,0.80
black sails,1.80
black viper sophia's fate,0.20
blackguards,19.82
